120,Computer software consulting,Privately owned (100% Australian),Metropolitan Melbourne,2 to 4 years,16,2,13,,Increase,No,,ICT professionals,,,,,,,,,,,,,,,"$1,000,000 to $4,999,999",70,30,,,Yes,Yes,Increase,Increase,Irregularly,,,,Computer services,,,,,,,,South East Asia,,,,,,,,,,,,Singapore,,,,,Singapore,Hong Kong,,,,Customising/modifying existing products and services,0,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Enabler,Enabler,Enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Enabler,Neither a barrier nor an enabler,Enabler,Neither a barrier nor an enabler,Not Applicable,Not Applicable
121,"Software development and installation (incl. game, app and e-learning resource development)",Privately owned (100% Australian),Metropolitan Melbourne,2 to 4 years,2,1,2,3,Increase,No,,,,Developer programmers,Database and systems administrators,,,,,,,,,,,,"$200,000 to $499,999",20,75,,5,Yes,No,Increase,Increase,Irregularly,,,,,,,,,,,Other,,,,Middle East,,,,,,,,,Indonesia,,,,,Indonesia,Singapore,USA,,,Developing new products and services,90,Barrier,Major Barrier,Major Barrier,Major Barrier,Barrier,Major Enabler,Major Enabler,Major Enabler,Major Enabler,Major Enabler,Major Enabler,Barrier,Neither a barrier nor an enabler,Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Barrier,Neither a barrier nor an enabler
122,Systems analysis and computer programming,Privately owned (100% Australian),Metropolitan Melbourne,5 to 9 years,14,4,,,Increase,Yes,,,,,,,,,,,,,,,,,"$1,000,000 to $4,999,999",95,4,1,,Yes,No,Increase,Decrease,Irregularly,,,,Computer services,,,,,,,,South East Asia,,,,,,,,,,Oceania and Pacific Islands,,New Zealand,Hong Kong,,,,,,,,,Developing new products and services,20,Barrier,Major Barrier,Neither a barrier nor an enabler,Major Barrier,Barrier,Barrier,Enabler,Major Enabler,Enabler,Barrier,Barrier,Neither a barrier nor an enabler,Barrier,Barrier,Barrier,Barrier,Barrier,
123,Manufacturing – ICT equipment,Privately owned (50-100% foreign owned),Overseas,10 to 19 years,2,,5,500,Increase,Yes,,,,,,ICT security specialists,,,,,,,,,,,"More than $10,000,000",1,1,98,,Yes,Yes,Increase,Stay the same,Regularly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Developing new products and services,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
124,Telecommunications services,Privately owned (100% Australian),Metropolitan Melbourne,Less than 2 years,1,1,,,Increase,Yes,,ICT professionals,,,,,,"Software engineers, testers and app programmers",,,,,,,,,"$0 to $199,999",,,,,No,Yes,Increase,Increase,Irregularly,,"Other ICT and telecommunications equipment, parts and components",,,,,,,,,,,,,,,,,,,,Oceania and Pacific Islands,,,,,,,,,,,,Developing new products and services,90,Major Barrier,Neither a barrier nor an enabler,Barrier,Major Barrier,Barrier,Major Enabler,Neither a barrier nor an enabler,Not Applicable,Not Applicable,Neither a barrier nor an enabler,Major Enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler
126,Wholesaling – ICT goods,Privately owned (up to 49% foreign owned),Metropolitan Melbourne,20 or more years,5,,2,,Stay the same,Yes,,,,,,,,,,,,,,"Business management, human resources and other support functions",,,"$1,000,000 to $4,999,999",25,75,,,No,No,Increase,Increase,Irregularly,,"Other ICT and telecommunications equipment, parts and components",,,,,,,,,,South East Asia,,,,,,,,,,Oceania and Pacific Islands,,Fiji,South Korea,Malaysia,Papua New Guinea,,Fiji,Papua New Guinea,Malaysia,South Korea,New Zealand,Developing new products and services,5,Major Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Major Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler
127,"Software development and installation (incl. game, app and e-learning resource development)",Privately owned (100% Australian),Metropolitan Melbourne,Less than 2 years,2,,,,Increase,Yes,,,,Developer programmers,,,,,,,,,,,,,"$0 to $199,999",75,25,,,Yes,Yes,Increase,Increase,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,UK,New Zealand,Canada,Singapore,Developing new products and services,,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Barrier,Barrier,Neither a barrier nor an enabler,Enabler,Enabler,Enabler,Enabler,,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Barrier,Barrier,Neither a barrier nor an enabler,Barrier,Barrier
128,"Software development and installation (incl. game, app and e-learning resource development)",Privately owned (100% Australian),Metropolitan Melbourne,2 to 4 years,3,,,,Increase,Yes,,,,,,,,,,,,,,,,,"$200,000 to $499,999",30,70,,,No,Yes,Increase,Increase,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New Zealand,Singapore,Malaysia,USA,Canada,Developing new products and services,80,Barrier,Major Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Barrier,Enabler,Major Enabler,Major Enabler,Major Enabler,Major Enabler,Enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Major Barrier,Neither a barrier nor an enabler,Barrier,Barrier,Major Barrier
129,Internet and web design consulting,Privately owned (100% Australian),Metropolitan Melbourne,Less than 2 years,1,,,,Stay the same,Yes,,,,,,,,,,,,,,,Company not currently experiencing skills as being in short supply,,"$0 to $199,999",100,,,,Yes,No,Stay the same,Stay the same,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Implementing new or significantly improved operational processes,0,Major Barrier,Major Barrier,Barrier,Barrier,Barrier,Not Applicable,Enabler,Enabler,Not Applicable,Major Enabler,Major Enabler,Barrier,Major Enabler,Major Enabler,Not Applicable,Not Applicable,Not Applicable,Not Applicable
130,Computer hardware maintenance and consulting,Privately owned (50-100% foreign owned),Overseas,10 to 19 years,350,100,800,30000,Increase,Yes,,ICT professionals,,,,ICT security specialists,,,,,,,,,,,"More than $10,000,000",30,70,,,Yes,No,Stay the same,Decrease,Irregularly,,,,,,,,,,,Other,South East Asia,East Asia,South Asia,Middle East,Eastern Europe and Russia,,Africa,North America,,South America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,"Software development and installation (incl. game, app and e-learning resource development)",Privately owned (100% Australian),Metropolitan Melbourne,10 to 19 years,6,,,,Increase,Yes,,ICT professionals,"ICT business analysts, systems analysts and programmers",Developer programmers,Database and systems administrators,,ICT network and support professionals (e.g. computer network and systems engineers),"Software engineers, testers and app programmers",,,ICT sales,ICT trainers,,,,,"$500,000 to $999,999",60,35,,5,Yes,No,Stay the same,Decrease,Irregularly,,,Computer software,,,,,,,,,,,,,,,,,,,Oceania and Pacific Islands,,New Zealand,,,,,,,,,,Developing new products and services,50,Barrier,Major Barrier,Barrier,Major Barrier,Major Barrier,Major Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Major Barrier,Major Barrier,Major Barrier,Barrier,Barrier,Major Barrier,Major Barrier,Major Barrier
132,"Internet and data services (incl. data centre hosting, cloud services)",Privately owned (100% Australian),Metropolitan Melbourne,5 to 9 years,,3,,1,Increase,Yes,,,"ICT business analysts, systems analysts and programmers",Developer programmers,,,,,,,,,Research and development,,,,"$0 to $199,999",100,,,,No,No,Increase,Stay the same,Irregularly,,,,,,,,,,,Other,,,,,,,,North America,,,,,North America,,,,,USA,UK,Germany,UAE,France,Developing new products and services,1,Barrier,,Barrier,Major Barrier,Barrier,Enabler,Neither a barrier nor an enabler,Major Enabler,,Major Barrier,Barrier,Barrier,Major Barrier,Barrier,Barrier,Neither a barrier nor an enabler,Major Enabler,Barrier
134,"Internet and data services (incl. data centre hosting, cloud services)",Listed on ASX,Overseas,20 or more years,95,,700,3500,Stay the same,Yes,,,"ICT business analysts, systems analysts and programmers",Developer programmers,,,,,,,,,,,,,"More than $10,000,000",,,,,Yes,Yes,Increase,Increase,Irregularly,,,,,,,Information storage and retrieval,,,,,South East Asia,,,,,Western Europe,,North America,,South America,,,,,,,,,,,,,Developing new products and services,,Not Applicable,Major Barrier,Barrier,Not Applicable,Barrier,Not Applicable,Not Applicable,Major Enabler,Not Applicable,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Not Applicable,Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler
137,"Software development and installation (incl. game, app and e-learning resource development)",Privately owned (100% Australian),Metropolitan Melbourne,2 to 4 years,4,3,2,2,Increase,Yes,,,,Developer programmers,Database and systems administrators,,,,,,,,,,,,"$0 to $199,999",50,30,20,,Yes,Yes,Increase,Increase,Regularly,,,,,Internet and web design,,,,,,,South East Asia,,,,Eastern Europe and Russia,,,North America,,,,,USA,UK,New Zealand,Germany,Singapore,USA,UK,New Zealand,Germany,Singapore,Customising/modifying existing products and services,30,Major Enabler,Major Enabler,Major Enabler,Major Enabler,Neither a barrier nor an enabler,Major Enabler,Neither a barrier nor an enabler,Enabler,Enabler,Enabler,Major Enabler,Barrier,Enabler,Enabler,Neither a barrier nor an enabler,Not Applicable,Major Enabler,Major Enabler
138,Computer software publishing,Privately owned (50-100% foreign owned),Overseas,5 to 9 years,9,,3,260,Increase,Yes,,ICT professionals,,,Database and systems administrators,,,,,,,,,,,,"More than $10,000,000",3.5,7,87,2.5,Yes,Yes,Increase,Stay the same,Regularly,,,Computer software,Computer services,,,,Hardware and software maintenance,,,,South East Asia,East Asia,South Asia,,,,,,,,Oceania and Pacific Islands,,Hong Kong,Japan,Singapore,Philippines,China,China,Japan,Singapore,Hong Kong,South Korea,Developing new products and services,12,Barrier,Barrier,Neither a barrier nor an enabler,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Enabler,Major Enabler,Enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Major Barrier,Neither a barrier nor an enabler,Major Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Barrier
140,Systems analysis and computer programming,Privately owned (100% Australian),Regional Victoria,20 or more years,2,,,,Stay the same,Yes,,,"ICT business analysts, systems analysts and programmers",,,,,,,,,,,,,,"$0 to $199,999",90,10,,,Yes,Yes,Increase,Stay the same,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Developing new products and services,5,Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Not Applicable,Not Applicable,Not Applicable,Enabler,Neither a barrier nor an enabler,Not Applicable,Enabler,Enabler,Neither a barrier nor an enabler,Not Applicable,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Not Applicable,Not Applicable,Not Applicable
141,Computer software publishing,Privately owned (50-100% foreign owned),Overseas,10 to 19 years,60,40,200,6000,Increase,No,,,,,,ICT security specialists,,"Software engineers, testers and app programmers",,,,,,,,,"More than $10,000,000",,,,,Yes,Yes,Increase,Stay the same,Regularly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,Wholesaling – ICT goods,Privately owned (100% Australian),Metropolitan Melbourne,10 to 19 years,10,2,2,,Increase,Yes,,,,,,,ICT network and support professionals (e.g. computer network and systems engineers),"Software engineers, testers and app programmers","Technicians – ICT, telecommunications and electronics",,,,,,,,"$5,000,000 to $9,999,999",20,70,,10,Yes,No,Stay the same,Stay the same,Regularly,,"Other ICT and telecommunications equipment, parts and components",,,,,,,Telecommunications services,,,South East Asia,,,,,,,,,,Oceania and Pacific Islands,,New Zealand,Malaysia,Singapore,,,Singapore,Malaysia,Thailand,Indonesia,New Zealand,Developing new products and services,3,Barrier,Barrier,Barrier,Neither a barrier nor an enabler,Enabler,Neither a barrier nor an enabler,Major Barrier,Enabler,Enabler,Neither a barrier nor an enabler,Enabler,Neither a barrier nor an enabler,Barrier,Barrier,Barrier,Barrier,Barrier,Neither a barrier nor an enabler
143,Manufacturing – ICT equipment,Privately owned (100% Australian),Metropolitan Melbourne,2 to 4 years,3,5,1,1,Increase,No,,,,,,,,"Software engineers, testers and app programmers","Technicians – ICT, telecommunications and electronics",,,,Research and development,,,,"$500,000 to $999,999",60,35,,5,Yes,No,Increase,Stay the same,Irregularly,,"Other ICT and telecommunications equipment, parts and components",,,,,,,,,,,,,,,,,,,,Oceania and Pacific Islands,,New Zealand,,,,,New Zealand,USA,Japan,South Korea,Switzerland,Developing new products and services,5,Neither a barrier nor an enabler,Barrier,Barrier,Barrier,Barrier,Barrier,Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Enabler,Enabler,Barrier,Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Major Barrier,Major Barrier,Barrier
144,Wholesaling – ICT goods,Privately owned (100% Australian),Metropolitan Melbourne,10 to 19 years,50,10,8,4,Increase,No,,ICT professionals,"ICT business analysts, systems analysts and programmers",,,,ICT network and support professionals (e.g. computer network and systems engineers),,,,ICT sales,,,"Business management, human resources and other support functions",,,"More than $10,000,000",10,70,20,,Yes,Yes,Decrease,Decrease,Regularly,Computer hardware,"Other ICT and telecommunications equipment, parts and components",Computer software,Computer services,,,,Hardware and software maintenance,,,,,,,Middle East,,Western Europe,,,,,Oceania and Pacific Islands,,New Zealand,UK,Qatar,Sweden,Germany,New Zealand,UK,Germany,Sweden,Qatar,Developing new products and services,40,Major Barrier,Major Barrier,Neither a barrier nor an enabler,Barrier,Barrier,Neither a barrier nor an enabler,Major Barrier,Neither a barrier nor an enabler,Enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Barrier,Barrier,Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler
145,"Software development and installation (incl. game, app and e-learning resource development)",Privately owned (100% Australian),Metropolitan Melbourne,10 to 19 years,,,1,,Increase,Yes,,,,,,,,"Software engineers, testers and app programmers",,,,,,,,,"$200,000 to $499,999",80,20,,,No,No,Increase,Decrease,Irregularly,,"Other ICT and telecommunications equipment, parts and components",,,,,,,,,,,,,,,,,North America,,,,,USA,,,,,USA,Brazil,Mexico,UK,Turkey,Developing new products and services,75,Major Barrier,Major Barrier,Neither a barrier nor an enabler,Barrier,Barrier,Major Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Major Barrier,Major Barrier,Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler
